# dist  px py pz    dx dy dz
5 1 1.1784e+01  -7.306 25.000 62.131  -2.922 10.000 -5.508
1 1 1.5715e-01  0.000 0.000 75.900  -0.103 -0.064 0.100
1 1 2.2086e-01  0.000 0.000 75.900  0.194 -0.033 0.100
1 1 2.0260e-01  0.000 0.000 75.900  0.117 -0.132 0.100
1 3 2.8069e+00  0.000 0.000 75.900  -2.066 -0.046 -1.900
3 5 1.8466e+01  -2.066 -0.046 74.000  -13.589 -0.305 -12.500
5 9 1.1341e+01  -15.654 -0.352 61.500  -8.346 -0.188 -7.677
9 1 1.4948e+01  -24.000 -0.539 53.823  -11.000 -0.247 -10.119
1 1 1.2051e-01  0.000 0.000 75.900  0.067 -0.000 0.100
1 3 6.6198e+00  0.000 0.000 75.900  4.085 -4.851 -1.900
3 5 2.7499e+01  4.085 -4.851 74.000  16.968 -20.149 -7.893
5 1 1.3648e+01  21.052 -25.000 66.107  8.421 -10.000 -3.917
1 3 5.8640e+00  0.000 0.000 75.900  4.551 3.173 -1.900
3 5 2.6349e+01  4.551 3.173 74.000  20.449 14.255 -8.537
5 1 1.2885e+01  25.000 17.428 65.463  10.000 6.971 -4.175
1 1 1.0856e-01  0.000 0.000 75.900  0.041 -0.010 0.100
1 1 1.2443e-01  0.000 0.000 75.900  0.073 0.011 0.100
1 1 1.1835e+00  0.000 0.000 75.900  0.785 0.880 0.100
1 1 1.8916e-01  0.000 0.000 75.900  -0.157 -0.032 0.100
1 3 2.9358e+00  0.000 0.000 75.900  -1.788 -1.346 -1.900
3 5 1.9315e+01  -1.788 -1.346 74.000  -11.762 -8.858 -12.500
5 9 1.7160e+01  -13.550 -10.204 61.500  -10.450 -7.870 -11.106
9 17 1.6421e+01  -24.000 -18.074 50.394  -10.000 -7.531 -10.627
17 1 1.6421e+00  -34.000 -25.605 39.767  -1.000 -0.753 -1.063
1 1 4.1625e-01  0.000 0.000 75.900  -0.131 0.382 0.100
1 1 1.4147e-01  0.000 0.000 75.900  -0.018 0.098 0.100
1 3 2.0498e+00  0.000 0.000 75.900  0.736 0.224 -1.900
3 5 1.3486e+01  0.736 0.224 74.000  4.841 1.475 -12.500
5 9 1.2407e+01  5.577 1.699 61.500  4.454 1.357 -11.500
9 17 2.8589e+01  10.031 3.056 50.000  10.263 3.127 -26.500
17 97 5.3942e+00  20.294 6.183 23.500  1.936 0.590 -5.000
97 64 1.9959e+01  22.230 6.773 18.500  7.165 2.183 -18.500
1 1 1.9406e-01  0.000 0.000 75.900  0.155 0.060 0.100
1 1 1.4324e-01  0.000 0.000 75.900  0.007 -0.102 0.100
1 3 2.8555e+00  0.000 0.000 75.900  -1.525 -1.490 -1.900
3 5 1.8786e+01  -1.525 -1.490 74.000  -10.030 -9.802 -12.500
5 9 1.7283e+01  -11.554 -11.292 61.500  -9.227 -9.018 -11.500
9 17 2.4759e+01  -20.782 -20.310 50.000  -13.218 -12.918 -16.474
17 1 1.8731e+00  -34.000 -33.228 33.526  -1.000 -0.977 -1.246
1 1 4.4961e-01  0.000 0.000 75.900  -0.426 0.105 0.100
1 1 1.3531e-01  0.000 0.000 75.900  -0.012 -0.090 0.100
1 3 8.3148e+00  0.000 0.000 75.900  -5.275 -6.250 -1.498
3 5 2.4944e+01  -5.275 -6.250 74.402  -15.826 -18.750 -4.494
5 1 1.3304e+01  -21.101 -25.000 69.908  -8.440 -10.000 -2.397
1 1 1.1631e-01  0.000 0.000 75.900  0.033 0.049 0.100
1 3 2.0745e+00  0.000 0.000 75.900  -0.388 -0.737 -1.900
3 5 1.3648e+01  -0.388 -0.737 74.000  -2.554 -4.846 -12.500
5 9 1.2556e+01  -2.943 -5.583 61.500  -2.350 -4.459 -11.500
9 17 2.8933e+01  -5.293 -10.042 50.000  -5.415 -10.274 -26.500
17 97 5.4591e+00  -10.708 -20.316 23.500  -1.022 -1.939 -5.000
97 64 2.0199e+01  -11.730 -22.254 18.500  -3.780 -7.173 -18.500
1 1 5.7647e-01  0.000 0.000 75.900  0.559 0.096 0.100
1 1 4.4583e-01  0.000 0.000 75.900  -0.363 0.239 0.100
1 1 1.4840e-01  0.000 0.000 75.900  0.109 0.008 0.100
1 3 2.8790e+00  0.000 0.000 75.900  1.770 1.244 -1.900
3 5 1.8941e+01  1.770 1.244 74.000  11.642 8.184 -12.500
5 9 1.7227e+01  13.412 9.427 61.500  10.588 7.443 -11.369
9 17 1.6269e+01  24.000 16.870 50.131  10.000 7.029 -10.737
17 1 1.6269e+00  34.000 23.899 39.394  1.000 0.703 -1.074
1 3 2.3438e+00  0.000 0.000 75.900  0.864 1.067 -1.900
3 5 1.5420e+01  0.864 1.067 74.000  5.682 7.017 -12.500
5 9 1.4186e+01  6.546 8.084 61.500  5.227 6.456 -11.500
9 17 3.2690e+01  11.773 14.539 50.000  12.046 14.876 -26.500
17 17 4.3826e-15  23.819 29.415 23.500  0.000 0.000 -0.000
17 65 6.1680e+00  23.819 29.415 23.500  2.273 2.807 -5.000
65 64 6.3250e+00  26.092 32.222 18.500  2.331 2.878 -5.127
1 1 2.2221e-01  0.000 0.000 75.900  -0.187 -0.065 0.100
1 1 5.9395e-01  0.000 0.000 75.900  -0.144 0.568 0.100
1 1 3.6483e-01  0.000 0.000 75.900  -0.337 0.098 0.100
1 1 5.3284e-01  0.000 0.000 75.900  0.013 0.523 0.100
1 3 2.4484e+00  0.000 0.000 75.900  -1.438 0.562 -1.900
3 5 1.6108e+01  -1.438 0.562 74.000  -9.462 3.698 -12.500
5 9 1.4819e+01  -10.900 4.260 61.500  -8.705 3.402 -11.500
9 17 2.4504e+01  -19.606 7.662 50.000  -14.394 5.626 -19.016
17 1 1.7023e+00  -34.000 13.288 30.984  -1.000 0.391 -1.321
1 3 1.9318e+00  0.000 0.000 75.900  0.137 -0.321 -1.900
3 5 1.2709e+01  0.137 -0.321 74.000  0.901 -2.111 -12.500
5 9 1.1692e+01  1.038 -2.432 61.500  0.829 -1.942 -11.500
9 17 2.6943e+01  1.867 -4.374 50.000  1.910 -4.476 -26.500
17 97 5.0836e+00  3.777 -8.850 23.500  0.360 -0.844 -5.000
97 64 1.8809e+01  4.137 -9.695 18.500  1.333 -3.125 -18.500
1 3 4.0863e+00  0.000 0.000 75.900  2.142 2.915 -1.900
3 5 2.6884e+01  2.142 2.915 74.000  14.094 19.179 -12.500
5 1 1.8091e+01  16.237 22.094 61.500  9.484 12.906 -8.412
1 3 3.1139e+00  0.000 0.000 75.900  -0.331 -2.445 -1.900
3 5 2.0486e+01  -0.331 -2.445 74.000  -2.179 -16.084 -12.500
5 1 2.0980e+01  -2.511 -18.528 61.500  -2.232 -16.472 -12.802
1 1 2.8511e-01  0.000 0.000 75.900  0.128 -0.234 0.100
1 3 9.5349e+00  0.000 0.000 75.900  7.021 -6.250 -1.601
3 5 2.4419e+01  7.021 -6.250 74.299  17.979 -16.006 -4.101
5 1 1.3582e+01  25.000 -22.256 70.197  10.000 -8.902 -2.281
1 1 2.0447e-01  0.000 0.000 75.900  0.131 -0.121 0.100
1 1 5.3407e-01  0.000 0.000 75.900  -0.517 0.090 0.100
1 1 1.0266e-01  0.000 0.000 75.900  0.014 -0.018 0.100
1 1 3.8352e-01  0.000 0.000 75.900  -0.119 -0.351 0.100
1 3 2.0446e+00  0.000 0.000 75.900  -0.613 0.441 -1.900
3 5 1.3451e+01  -0.613 0.441 74.000  -4.033 2.903 -12.500
5 9 1.2375e+01  -4.646 3.344 61.500  -3.710 2.671 -11.500
9 17 2.8517e+01  -8.356 6.015 50.000  -8.549 6.154 -26.500
17 97 5.3805e+00  -16.905 12.170 23.500  -1.613 1.161 -5.000
97 64 1.9908e+01  -18.518 13.331 18.500  -5.968 4.297 -18.500
1 3 5.3230e+00  0.000 0.000 75.900  -2.224 4.448 -1.900
3 5 2.4598e+01  -2.224 4.448 74.000  -10.275 20.552 -8.780
5 1 1.1969e+01  -12.499 25.000 65.220  -5.000 10.000 -4.272
1 1 1.5002e-01  0.000 0.000 75.900  -0.098 -0.053 0.100
1 1 3.9356e+00  0.000 0.000 75.900  2.528 -3.015 0.100
1 1 1.4167e+00  0.000 0.000 75.900  -1.391 0.251 0.100
1 1 1.1086e+00  0.000 0.000 75.900  -1.026 0.409 0.100
1 3 3.4941e+00  0.000 0.000 75.900  1.343 2.607 -1.900
3 5 2.2988e+01  1.343 2.607 74.000  8.833 17.151 -12.500
5 1 2.0428e+01  10.175 19.758 61.500  7.849 15.242 -11.108
1 1 4.3231e-01  0.000 0.000 75.900  0.092 0.410 0.100
1 3 3.6721e+00  0.000 0.000 75.900  -0.912 3.007 -1.900
3 5 2.4158e+01  -0.912 3.007 74.000  -6.002 19.782 -12.500
5 1 1.4912e+01  -6.915 22.789 61.500  -3.705 12.211 -7.716
1 3 3.2766e+00  0.000 0.000 75.900  0.776 2.554 -1.900
3 5 2.1557e+01  0.776 2.554 74.000  5.108 16.803 -12.500
5 1 2.0068e+01  5.884 19.357 61.500  4.755 15.643 -11.637
1 3 1.9907e+00  0.000 0.000 75.900  -0.561 -0.197 -1.900
3 5 1.3097e+01  -0.561 -0.197 74.000  -3.689 -1.293 -12.500
5 9 1.2049e+01  -4.250 -1.490 61.500  -3.394 -1.190 -11.500
9 17 2.7765e+01  -7.643 -2.679 50.000  -7.820 -2.741 -26.500
17 97 5.2388e+00  -15.464 -5.421 23.500  -1.476 -0.517 -5.000
97 64 1.9383e+01  -16.939 -5.938 18.500  -5.459 -1.914 -18.500
1 3 2.0386e+00  0.000 0.000 75.900  -0.124 0.728 -1.900
3 5 1.3412e+01  -0.124 0.728 74.000  -0.818 4.792 -12.500
5 9 1.2339e+01  -0.943 5.520 61.500  -0.753 4.409 -11.500
9 17 2.8433e+01  -1.696 9.929 50.000  -1.735 10.159 -26.500
17 97 5.3648e+00  -3.430 20.087 23.500  -0.327 1.917 -5.000
97 64 1.9850e+01  -3.758 22.004 18.500  -1.211 7.092 -18.500
1 3 6.9599e+00  0.000 0.000 75.900  2.909 -6.250 -0.957
3 5 2.0880e+01  2.909 -6.250 74.943  8.727 -18.750 -2.872
5 1 1.1136e+01  11.636 -25.000 72.071  4.654 -10.000 -1.531
1 3 4.9944e+00  0.000 0.000 75.900  4.414 1.359 -1.900
3 5 2.3290e+01  4.414 1.359 74.000  20.586 6.337 -8.860
5 1 1.1314e+01  25.000 7.696 65.140  10.000 3.078 -4.304
1 3 2.6933e+00  0.000 0.000 75.900  1.600 -1.041 -1.900
3 5 1.7719e+01  1.600 -1.041 74.000  10.526 -6.851 -12.500
5 9 1.6302e+01  12.126 -7.892 61.500  9.684 -6.303 -11.500
9 17 2.0521e+01  21.810 -14.194 50.000  12.190 -7.934 -14.477
17 1 1.6834e+00  34.000 -22.128 35.523  1.000 -0.651 -1.188
1 3 2.1570e+00  0.000 0.000 75.900  -0.446 -0.918 -1.900
3 5 1.4190e+01  -0.446 -0.918 74.000  -2.936 -6.041 -12.500
5 9 1.3055e+01  -3.383 -6.960 61.500  -2.701 -5.558 -11.500
9 17 3.0084e+01  -6.084 -12.518 50.000  -6.225 -12.808 -26.500
17 65 5.6762e+00  -12.309 -25.325 23.500  -1.174 -2.417 -5.000
65 64 1.7283e+01  -13.483 -27.742 18.500  -3.576 -7.358 -15.224
1 1 4.3419e+00  0.000 0.000 75.900  0.649 -4.292 0.100
1 1 1.8462e-01  0.000 0.000 75.900  -0.155 0.006 0.100
1 1 1.2498e-01  0.000 0.000 75.900  -0.074 0.011 0.100
1 1 5.6624e-01  0.000 0.000 75.900  0.365 -0.421 0.100
1 1 1.9151e-01  0.000 0.000 75.900  0.087 0.138 0.100
1 1 1.1026e-01  0.000 0.000 75.900  0.042 0.020 0.100
