# dist  px py pz    dx dy dz
3 5 2.6689e+01  1.628 3.193 74.000  10.712 21.007 -12.500
5 1 1.3721e+01  12.341 24.200 61.500  5.507 10.800 -6.427
1 3 8.5360e+00  0.000 0.000 75.900  -8.500 -0.696 -0.359
3 1 2.6612e+01  -8.500 -0.696 75.541  -26.500 -2.171 -1.119
1 3 7.4937e+00  0.000 0.000 75.900  -4.085 -6.250 -0.634
3 1 3.4471e+01  -4.085 -6.250 75.266  -18.793 -28.750 -2.916
1 1 1.1056e-01  0.000 0.000 75.900  -0.043 0.020 0.100
1 3 4.7139e+00  0.000 0.000 75.900  -3.805 2.032 -1.900
3 5 2.6254e+01  -3.805 2.032 74.000  -21.195 11.317 -10.582
5 1 1.2387e+01  -25.000 13.349 63.418  -10.000 5.340 -4.993
1 1 1.5402e-01  0.000 0.000 75.900  0.082 -0.084 0.100
1 1 1.9997e-01  0.000 0.000 75.900  0.136 -0.108 0.100
1 1 2.9632e-01  0.000 0.000 75.900  -0.278 -0.020 0.100
1 3 3.7885e+00  0.000 0.000 75.900  -2.985 1.353 -1.900
3 5 2.4924e+01  -2.985 1.353 74.000  -19.640 8.902 -12.500
5 1 1.5705e+01  -22.625 10.255 61.500  -12.375 5.609 -7.876
1 3 6.6557e+00  0.000 0.000 75.900  1.856 -6.250 -1.338
3 5 1.9967e+01  1.856 -6.250 74.562  5.568 -18.750 -4.014
5 1 1.0649e+01  7.424 -25.000 70.548  2.970 -10.000 -2.141
1 1 2.5338e-01  0.000 0.000 75.900  0.059 0.225 0.100
1 3 4.4299e+00  0.000 0.000 75.900  3.984 -0.372 -1.900
3 5 2.3365e+01  3.984 -0.372 74.000  21.016 -1.961 -10.022
5 1 1.1118e+01  25.000 -2.333 63.978  10.000 -0.933 -4.769
1 1 1.2161e-01  0.000 0.000 75.900  0.055 -0.042 0.100
1 1 1.0379e-01  0.000 0.000 75.900  0.007 -0.027 0.100
1 1 1.3625e-01  0.000 0.000 75.900  -0.013 0.092 0.100
1 1 1.5623e+00  0.000 0.000 75.900  -1.143 -1.061 0.100
1 1 1.8667e-01  0.000 0.000 75.900  0.157 0.012 0.100
1 3 3.1636e+00  0.000 0.000 75.900  -2.410 0.768 -1.900
3 5 2.0813e+01  -2.410 0.768 74.000  -15.857 5.051 -12.500
5 1 2.1964e+01  -18.267 5.819 61.500  -16.733 5.330 -13.191
1 3 3.7622e+00  0.000 0.000 75.900  -2.913 1.434 -1.900
3 5 2.4751e+01  -2.913 1.434 74.000  -19.166 9.436 -12.500
5 1 1.6686e+01  -22.079 10.871 61.500  -12.921 6.362 -8.427
1 1 1.6264e-01  0.000 0.000 75.900  -0.007 -0.128 0.100
1 3 6.7444e+00  0.000 0.000 75.900  2.402 6.250 -0.809
3 5 2.0233e+01  2.402 6.250 75.091  7.207 18.750 -2.427
5 1 1.0791e+01  9.609 25.000 72.665  3.844 10.000 -1.294
1 3 8.8017e+00  0.000 0.000 75.900  8.500 -1.983 -1.135
3 5 1.7086e+01  8.500 -1.983 74.765  16.500 -3.849 -2.203
5 1 1.0355e+01  25.000 -5.832 72.562  10.000 -2.333 -1.335
1 1 2.5647e-01  0.000 0.000 75.900  0.210 0.107 0.100
1 1 5.4495e-01  0.000 0.000 75.900  0.214 -0.491 0.100
1 3 9.2961e+00  0.000 0.000 75.900  -8.500 -3.614 -1.052
3 5 1.8045e+01  -8.500 -3.614 74.848  -16.500 -7.015 -2.041
5 1 1.0937e+01  -25.000 -10.629 72.807  -10.000 -4.252 -1.237
1 1 1.4369e-01  0.000 0.000 75.900  -0.033 0.098 0.100
1 3 1.9729e+00  0.000 0.000 75.900  -0.494 -0.195 -1.900
3 5 1.2980e+01  -0.494 -0.195 74.000  -3.253 -1.281 -12.500
5 9 1.1941e+01  -3.748 -1.475 61.500  -2.993 -1.178 -11.500
9 17 2.7517e+01  -6.740 -2.653 50.000  -6.897 -2.715 -26.500
17 97 5.1919e+00  -13.637 -5.368 23.500  -1.301 -0.512 -5.000
97 64 1.9210e+01  -14.938 -5.880 18.500  -4.815 -1.895 -18.500
1 1 9.4445e-01  0.000 0.000 75.900  -0.051 -0.938 0.100
1 1 1.5540e-01  0.000 0.000 75.900  -0.037 0.113 0.100
1 1 8.5943e-01  0.000 0.000 75.900  0.670 -0.529 0.100
1 1 4.9449e-01  0.000 0.000 75.900  0.010 -0.484 0.100
1 3 6.4840e+00  0.000 0.000 75.900  -6.189 -0.356 -1.900
3 5 1.9707e+01  -6.189 -0.356 74.000  -18.811 -1.082 -5.775
5 1 1.0476e+01  -25.000 -1.438 68.225  -10.000 -0.575 -3.070
1 3 2.9193e+00  0.000 0.000 75.900  1.705 1.416 -1.900
3 5 1.9206e+01  1.705 1.416 74.000  11.216 9.318 -12.500
5 9 1.7669e+01  12.921 10.734 61.500  10.319 8.572 -11.500
9 17 1.8427e+01  23.239 19.306 50.000  10.761 8.940 -11.993
17 1 1.7124e+00  34.000 28.246 38.007  1.000 0.831 -1.115
1 1 1.5312e-01  0.000 0.000 75.900  0.061 -0.099 0.100
1 3 7.1092e+00  0.000 0.000 75.900  3.309 6.250 -0.728
3 5 2.1328e+01  3.309 6.250 75.172  9.927 18.750 -2.183
5 1 1.1375e+01  13.236 25.000 72.990  5.294 10.000 -1.164
1 3 5.5894e+00  0.000 0.000 75.900  4.360 -2.937 -1.900
3 5 2.6461e+01  4.360 -2.937 74.000  20.640 -13.902 -8.995
5 1 1.2820e+01  25.000 -16.839 65.005  10.000 -6.736 -4.358
1 1 1.4256e-01  0.000 0.000 75.900  0.097 -0.031 0.100
1 1 4.4663e-01  0.000 0.000 75.900  0.396 -0.182 0.100
1 1 1.0513e-01  0.000 0.000 75.900  0.000 -0.032 0.100
1 1 4.9948e-01  0.000 0.000 75.900  -0.090 0.481 0.100
1 3 6.6582e+00  0.000 0.000 75.900  2.135 6.250 -0.844
3 5 1.9974e+01  2.135 6.250 75.056  6.404 18.750 -2.532
5 1 1.0653e+01  8.538 25.000 72.524  3.415 10.000 -1.350
1 1 3.8007e-01  0.000 0.000 75.900  -0.214 0.298 0.100
1 1 2.8394e-01  0.000 0.000 75.900  0.239 -0.117 0.100
1 1 5.1989e-01  0.000 0.000 75.900  0.495 -0.122 0.100
1 3 3.7129e+00  0.000 0.000 75.900  -2.263 2.248 -1.900
3 5 2.4427e+01  -2.263 2.248 74.000  -14.887 14.792 -12.500
5 1 2.9290e+01  -17.149 17.041 61.500  -17.851 17.737 -14.989
1 3 3.7507e+00  0.000 0.000 75.900  -3.014 1.171 -1.900
3 5 2.4675e+01  -3.014 1.171 74.000  -19.832 7.702 -12.500
5 1 1.5122e+01  -22.846 8.873 61.500  -12.154 4.720 -7.661
1 1 3.5015e+01  0.000 0.000 75.900  35.000 -0.746 -0.691
1 1 1.7185e+00  0.000 0.000 75.900  0.360 1.677 0.100
1 3 8.5235e+00  0.000 0.000 75.900  -8.500 0.553 -0.305
3 1 2.6573e+01  -8.500 0.553 75.595  -26.500 1.725 -0.952
1 1 7.1228e-01  0.000 0.000 75.900  0.410 -0.574 0.100
1 1 1.2746e-01  0.000 0.000 75.900  -0.068 -0.040 0.100
1 1 2.5694e+00  0.000 0.000 75.900  -2.208 -1.310 0.100
1 3 2.1775e+00  0.000 0.000 75.900  -1.058 -0.112 -1.900
3 5 1.4326e+01  -1.058 -0.112 74.000  -6.960 -0.739 -12.500
5 9 1.3180e+01  -8.018 -0.851 61.500  -6.403 -0.680 -11.500
9 17 3.0371e+01  -14.420 -1.531 50.000  -14.754 -1.566 -26.500
17 65 5.7304e+00  -29.175 -3.097 23.500  -2.784 -0.296 -5.000
65 64 6.4662e+00  -31.959 -3.393 18.500  -3.141 -0.333 -5.642
1 1 2.2410e-01  0.000 0.000 75.900  0.171 0.105 0.100
1 3 4.4774e+00  0.000 0.000 75.900  0.287 -4.044 -1.900
3 5 2.3201e+01  0.287 -4.044 74.000  1.489 -20.956 -9.845
5 1 1.1071e+01  1.777 -25.000 64.155  0.711 -10.000 -4.698
1 1 1.3544e-01  0.000 0.000 75.900  0.069 0.060 0.100
1 3 1.9657e+00  0.000 0.000 75.900  -0.261 -0.431 -1.900
3 5 1.2932e+01  -0.261 -0.431 74.000  -1.720 -2.834 -12.500
5 9 1.1897e+01  -1.981 -3.265 61.500  -1.582 -2.607 -11.500
9 17 2.7416e+01  -3.563 -5.872 50.000  -3.646 -6.008 -26.500
17 97 5.1728e+00  -7.209 -11.880 23.500  -0.688 -1.134 -5.000
97 64 1.9139e+01  -7.897 -13.013 18.500  -2.545 -4.194 -18.500
1 3 2.0124e+00  0.000 0.000 75.900  0.662 -0.033 -1.900
3 5 1.3240e+01  0.662 -0.033 74.000  4.358 -0.217 -12.500
5 9 1.2181e+01  5.021 -0.250 61.500  4.010 -0.200 -11.500
9 17 2.8068e+01  9.030 -0.450 50.000  9.240 -0.460 -26.500
17 97 5.2959e+00  18.270 -0.909 23.500  1.743 -0.087 -5.000
97 64 1.9595e+01  20.013 -0.996 18.500  6.450 -0.321 -18.500
1 1 6.2353e-01  0.000 0.000 75.900  0.448 0.422 0.100
1 1 1.4340e-01  0.000 0.000 75.900  -0.008 -0.102 0.100
1 3 3.4848e+00  0.000 0.000 75.900  -2.804 -0.820 -1.900
3 5 2.2926e+01  -2.804 -0.820 74.000  -18.446 -5.395 -12.500
5 1 1.7090e+01  -21.250 -6.215 61.500  -13.750 -4.022 -9.318
1 1 1.0551e-01  0.000 0.000 75.900  0.022 0.025 0.100
1 1 1.2825e-01  0.000 0.000 75.900  0.080 0.009 0.100
1 1 3.5174e-01  0.000 0.000 75.900  0.285 -0.181 0.100
1 1 1.4544e+00  0.000 0.000 75.900  1.390 -0.415 0.100
1 3 2.6400e+00  0.000 0.000 75.900  -1.128 1.445 -1.900
3 5 1.7368e+01  -1.128 1.445 74.000  -7.419 9.506 -12.500
5 9 1.5979e+01  -8.547 10.951 61.500  -6.825 8.746 -11.500
9 17 2.6131e+01  -15.372 19.697 50.000  -11.162 14.303 -18.806
17 1 1.8270e+00  -26.534 34.000 31.194  -0.780 1.000 -1.315
1 3 2.1943e+00  0.000 0.000 75.900  1.096 -0.055 -1.900
3 5 1.4436e+01  1.096 -0.055 74.000  7.212 -0.365 -12.500
5 9 1.3281e+01  8.308 -0.420 61.500  6.635 -0.336 -11.500
9 17 3.0604e+01  14.943 -0.756 50.000  15.289 -0.774 -26.500
17 65 5.7744e+00  30.232 -1.530 23.500  2.885 -0.146 -5.000
65 64 3.9691e+00  33.117 -1.676 18.500  1.983 -0.100 -3.437
1 1 2.6205e-01  0.000 0.000 75.900  0.148 0.192 0.100
1 1 2.1927e+00  0.000 0.000 75.900  0.410 2.152 0.100
1 3 2.2763e+00  0.000 0.000 75.900  -0.847 -0.925 -1.900
3 5 1.4976e+01  -0.847 -0.925 74.000  -5.570 -6.083 -12.500
5 9 1.3778e+01  -6.417 -7.007 61.500  -5.124 -5.596 -11.500
9 17 3.1748e+01  -11.541 -12.603 50.000  -11.808 -12.895 -26.500
17 65 5.9903e+00  -23.349 -25.498 23.500  -2.228 -2.433 -5.000
65 64 1.7651e+01  -25.577 -27.931 18.500  -6.565 -7.169 -14.733
1 3 2.1457e+00  0.000 0.000 75.900  0.996 0.045 -1.900
3 5 1.4116e+01  0.996 0.045 74.000  6.553 0.293 -12.500
5 9 1.2987e+01  7.549 0.338 61.500  6.028 0.270 -11.500
9 17 2.9927e+01  13.577 0.608 50.000  13.892 0.622 -26.500
17 65 5.6466e+00  27.469 1.230 23.500  2.621 0.117 -5.000
65 64 1.0793e+01  30.090 1.348 18.500  5.010 0.224 -9.557
1 3 3.7430e+00  0.000 0.000 75.900  3.187 -0.495 -1.900
3 5 2.4625e+01  3.187 -0.495 74.000  20.965 -3.257 -12.500
5 1 1.2742e+01  24.152 -3.752 61.500  10.848 -1.685 -6.468
1 1 1.6189e-01  0.000 0.000 75.900  -0.103 -0.075 0.100
1 3 3.1617e+00  0.000 0.000 75.900  -0.393 -2.496 -1.900
3 5 2.0801e+01  -0.393 -2.496 74.000  -2.587 -16.423 -12.500
5 1 2.0366e+01  -2.980 -18.920 61.500  -2.533 -16.080 -12.239
1 1 1.0164e-01  0.000 0.000 75.900  0.016 -0.008 0.100
1 3 8.5687e+00  0.000 0.000 75.900  5.766 -6.250 -1.057
3 3 1.2177e-15  5.766 -6.250 74.843  0.000 -0.000 -0.000
3 5 2.5706e+01  5.766 -6.250 74.843  17.297 -18.750 -3.171
5 1 1.3710e+01  23.063 -25.000 71.672  9.225 -10.000 -1.691
1 1 1.1233e-01  0.000 0.000 75.900  0.039 0.033 0.100
1 1 1.6430e-01  0.000 0.000 75.900  -0.061 0.115 0.100
1 3 3.3470e+00  0.000 0.000 75.900  -0.788 -2.640 -1.900
3 5 2.2020e+01  -0.788 -2.640 74.000  -5.187 -17.370 -12.500
5 1 1.9002e+01  -5.975 -20.010 61.500  -4.476 -14.990 -10.787
1 1 1.1055e-01  0.000 0.000 75.900  0.040 0.025 0.100
1 3 4.4970e+00  0.000 0.000 75.900  1.617 -3.742 -1.900
3 5 2.5551e+01  1.617 -3.742 74.000  9.185 -21.258 -10.795
5 1 1.2019e+01  10.802 -25.000 63.205  4.321 -10.000 -5.078
1 3 4.6974e+00  0.000 0.000 75.900  -4.239 -0.699 -1.900
3 5 2.3008e+01  -4.239 -0.699 74.000  -20.761 -3.423 -9.306
5 1 1.1082e+01  -25.000 -4.122 64.694  -10.000 -1.649 -4.482
1 1 1.3184e+01  0.000 0.000 75.900  -8.441 10.126 0.100
1 1 4.6707e-01  0.000 0.000 75.900  -0.216 -0.402 0.100
1 1 2.7126e-01  0.000 0.000 75.900  -0.178 -0.178 0.100
1 3 7.5336e+00  0.000 0.000 75.900  4.175 6.250 -0.511
3 1 3.4655e+01  4.175 6.250 75.389  19.206 28.750 -2.351
1 3 7.5997e+00  0.000 0.000 75.900  -4.282 6.250 -0.597
3 1 3.4959e+01  -4.282 6.250 75.303  -19.697 28.750 -2.748
1 1 1.3898e-01  0.000 0.000 75.900  0.030 0.092 0.100
1 1 3.1751e-01  0.000 0.000 75.900  0.280 -0.112 0.100
1 3 3.2753e+00  0.000 0.000 75.900  -0.539 2.613 -1.900
3 5 2.1548e+01  -0.539 2.613 74.000  -3.546 17.190 -12.500
5 1 1.9049e+01  -4.085 19.803 61.500  -3.135 15.197 -11.050
1 3 8.1070e+00  0.000 0.000 75.900  -5.035 -6.250 -1.146
3 5 2.4321e+01  -5.035 -6.250 74.754  -15.104 -18.750 -3.439
5 1 1.2971e+01  -20.138 -25.000 71.315  -8.055 -10.000 -1.834
1 1 1.4428e-01  0.000 0.000 75.900  -0.104 0.002 0.100
1 1 1.5417e-01  0.000 0.000 75.900  0.025 -0.115 0.100
1 1 1.2094e-01  0.000 0.000 75.900  -0.059 0.035 0.100
1 3 2.2640e+00  0.000 0.000 75.900  0.311 -1.191 -1.900
3 5 1.4894e+01  0.311 -1.191 74.000  2.045 -7.836 -12.500
5 9 1.3703e+01  2.356 -9.028 61.500  1.882 -7.210 -11.500
9 17 3.1576e+01  4.238 -16.237 50.000  4.336 -16.613 -26.500
17 1 4.0856e+00  8.574 -32.850 23.500  0.561 -2.150 -3.429
1 1 1.3440e-01  0.000 0.000 75.900  -0.090 0.000 0.100
1 3 2.3527e+00  0.000 0.000 75.900  -1.331 0.393 -1.900
3 5 1.5478e+01  -1.331 0.393 74.000  -8.756 2.583 -12.500
5 9 1.4240e+01  -10.086 2.975 61.500  -8.055 2.376 -11.500
9 17 2.8035e+01  -18.142 5.352 50.000  -15.858 4.678 -22.640
17 1 1.7678e+00  -34.000 10.030 27.360  -1.000 0.295 -1.428
1 1 3.0600e-01  0.000 0.000 75.900  0.065 0.282 0.100
1 3 6.4304e+00  0.000 0.000 75.900  -4.882 3.729 -1.900
3 5 2.6496e+01  -4.882 3.729 74.000  -20.118 15.363 -7.829
5 1 1.3171e+01  -25.000 19.092 66.171  -10.000 7.637 -3.892
1 1 2.3386e-01  0.000 0.000 75.900  0.100 0.186 0.100
1 1 2.1121e-01  0.000 0.000 75.900  0.009 0.186 0.100
1 1 2.7050e-01  0.000 0.000 75.900  0.249 -0.032 0.100
1 3 3.9011e+00  0.000 0.000 75.900  0.633 -3.348 -1.900
3 5 2.5230e+01  0.633 -3.348 74.000  4.092 -21.652 -12.288
5 1 1.1652e+01  4.724 -25.000 61.712  1.890 -10.000 -5.675
1 1 1.1489e-01  0.000 0.000 75.900  0.024 -0.051 0.100
1 1 1.3315e-01  0.000 0.000 75.900  0.087 0.013 0.100
1 1 1.6928e-01  0.000 0.000 75.900  0.069 0.118 0.100
1 3 3.1065e+00  0.000 0.000 75.900  -2.380 0.611 -1.900
3 5 2.0437e+01  -2.380 0.611 74.000  -15.661 4.022 -12.500
5 1 2.2131e+01  -18.041 4.633 61.500  -16.959 4.355 -13.536
1 1 1.0347e-01  0.000 0.000 75.900  -0.015 0.022 0.100
1 3 1.9582e+00  0.000 0.000 75.900  -0.266 0.392 -1.900
3 5 1.2883e+01  -0.266 0.392 74.000  -1.753 2.579 -12.500
5 9 1.1852e+01  -2.020 2.971 61.500  -1.613 2.373 -11.500
9 17 2.7312e+01  -3.632 5.344 50.000  -3.717 5.467 -26.500
17 97 5.1532e+00  -7.349 10.811 23.500  -0.701 1.032 -5.000
97 64 1.9067e+01  -8.050 11.842 18.500  -2.595 3.817 -18.500
1 1 1.1530e-01  0.000 0.000 75.900  0.057 0.007 0.100
1 3 8.8231e+00  0.000 0.000 75.900  8.500 2.161 -0.963
3 1 2.7507e+01  8.500 2.161 74.937  26.500 6.736 -3.003
1 3 2.2972e+00  0.000 0.000 75.900  -1.242 0.353 -1.900
3 5 1.5113e+01  -1.242 0.353 74.000  -8.171 2.321 -12.500
5 9 1.3904e+01  -9.413 2.674 61.500  -7.518 2.136 -11.500
9 17 3.1570e+01  -16.931 4.810 50.000  -17.069 4.849 -26.112
17 1 1.8496e+00  -34.000 9.659 23.888  -1.000 0.284 -1.530
1 1 1.2898e-01  0.000 0.000 75.900  -0.081 0.009 0.100
1 1 1.0217e-01  0.000 0.000 75.900  0.005 0.020 0.100
1 3 2.5045e+00  0.000 0.000 75.900  -0.689 -1.479 -1.900
3 5 1.6477e+01  -0.689 -1.479 74.000  -4.531 -9.732 -12.500
5 9 1.5159e+01  -5.220 -11.211 61.500  -4.169 -8.953 -11.500
9 17 2.3425e+01  -9.389 -20.164 50.000  -6.442 -13.836 -17.771
17 1 1.6931e+00  -15.831 -34.000 32.229  -0.466 -1.000 -1.284
1 1 1.5061e-01  0.000 0.000 75.900  0.022 0.110 0.100
1 3 2.1010e+00  0.000 0.000 75.900  0.255 -0.860 -1.900
3 5 1.3822e+01  0.255 -0.860 74.000  1.679 -5.656 -12.500
5 9 1.2717e+01  1.935 -6.515 61.500  1.545 -5.203 -11.500
9 17 2.9303e+01  3.480 -11.719 50.000  3.561 -11.990 -26.500
17 33 3.1562e+00  7.040 -23.709 23.500  0.383 -1.291 -2.854
33 65 2.3727e+00  7.424 -25.000 20.646  0.288 -0.971 -2.146
65 64 2.0457e+01  7.712 -25.971 18.500  2.486 -8.370 -18.500
1 3 3.5476e+00  0.000 0.000 75.900  1.547 -2.566 -1.900
3 5 2.3339e+01  1.547 -2.566 74.000  10.176 -16.880 -12.500
5 1 2.1507e+01  11.722 -19.445 61.500  9.377 -15.555 -11.519
1 3 3.0630e+00  0.000 0.000 75.900  -2.399 0.132 -1.900
3 5 2.0151e+01  -2.399 0.132 74.000  -15.782 0.869 -12.500
5 1 2.1476e+01  -18.180 1.001 61.500  -16.820 0.926 -13.322
1 3 2.6601e+00  0.000 0.000 75.900  -1.450 -1.167 -1.900
3 5 1.7500e+01  -1.450 -1.167 74.000  -9.542 -7.679 -12.500
5 9 1.6100e+01  -10.992 -8.846 61.500  -8.779 -7.064 -11.500
9 17 2.6097e+01  -19.771 -15.910 50.000  -14.229 -11.451 -18.640
17 1 1.8340e+00  -34.000 -27.361 31.360  -1.000 -0.805 -1.310
1 3 2.3883e+00  0.000 0.000 75.900  1.265 -0.702 -1.900
3 5 1.5712e+01  1.265 -0.702 74.000  8.324 -4.620 -12.500
5 9 1.4455e+01  9.589 -5.322 61.500  7.658 -4.250 -11.500
9 17 3.1623e+01  17.247 -9.572 50.000  16.753 -9.298 -25.158
17 1 1.8876e+00  34.000 -18.870 24.842  1.000 -0.555 -1.502
1 3 4.1879e+00  0.000 0.000 75.900  3.355 1.634 -1.900
3 5 2.7016e+01  3.355 1.634 74.000  21.645 10.542 -12.257
5 1 1.2482e+01  25.000 12.177 61.743  10.000 4.871 -5.663
1 3 8.1492e+00  0.000 0.000 75.900  -7.397 -2.843 -1.900
3 5 1.9392e+01  -7.397 -2.843 74.000  -17.603 -6.765 -4.521
5 1 1.1017e+01  -25.000 -9.607 69.479  -10.000 -3.843 -2.569
1 1 2.3628e-01  0.000 0.000 75.900  -0.129 -0.171 0.100
1 1 1.3749e-01  0.000 0.000 75.900  -0.088 -0.034 0.100
1 3 2.3683e+00  0.000 0.000 75.900  -1.330 -0.479 -1.900
3 5 1.5581e+01  -1.330 -0.479 74.000  -8.752 -3.151 -12.500
5 9 1.4335e+01  -10.082 -3.630 61.500  -8.052 -2.899 -11.500
9 17 2.8248e+01  -18.134 -6.528 50.000  -15.866 -5.712 -22.662
17 1 1.7803e+00  -34.000 -12.240 27.338  -1.000 -0.360 -1.428
1 1 2.3064e-01  0.000 0.000 75.900  0.074 -0.194 0.100
1 3 2.8664e+00  0.000 0.000 75.900  1.597 1.433 -1.900
3 5 1.8858e+01  1.597 1.433 74.000  10.508 9.431 -12.500
5 9 1.7349e+01  12.105 10.864 61.500  9.668 8.676 -11.500
9 17 2.1942e+01  21.773 19.540 50.000  12.227 10.973 -14.545
17 1 1.7946e+00  34.000 30.514 35.455  1.000 0.897 -1.190
1 1 1.2561e-01  0.000 0.000 75.900  -0.061 -0.046 0.100
1 3 3.5129e+00  0.000 0.000 75.900  0.370 -2.931 -1.900
3 5 2.3111e+01  0.370 -2.931 74.000  2.433 -19.286 -12.500
5 1 1.5317e+01  2.802 -22.218 61.500  1.612 -12.782 -8.285
1 1 1.4880e+00  0.000 0.000 75.900  1.169 0.915 0.100
1 1 3.8690e+01  0.000 0.000 75.900  -35.000 -16.487 -0.291
1 1 1.3324e-01  0.000 0.000 75.900  -0.088 -0.006 0.100
1 3 4.0867e+00  0.000 0.000 75.900  3.094 1.876 -1.900
3 5 2.6886e+01  3.094 1.876 74.000  20.354 12.342 -12.500
5 1 1.5260e+01  23.448 14.219 61.500  11.552 7.005 -7.095
1 3 4.6740e+00  0.000 0.000 75.900  3.740 -2.062 -1.900
3 5 2.6572e+01  3.740 -2.062 74.000  21.260 -11.721 -10.802
5 1 1.2498e+01  25.000 -13.783 63.198  10.000 -5.513 -5.081
1 1 3.3579e-01  0.000 0.000 75.900  -0.234 0.219 0.100
1 3 9.3032e+00  0.000 0.000 75.900  -8.500 3.696 -0.798
3 1 2.9004e+01  -8.500 3.696 75.102  -26.500 11.524 -2.487
1 3 2.6805e+00  0.000 0.000 75.900  1.847 0.403 -1.900
3 5 1.7635e+01  1.847 0.403 74.000  12.153 2.651 -12.500
5 9 1.4509e+01  14.001 3.054 61.500  9.999 2.181 -10.284
9 17 1.4510e+01  24.000 5.235 51.216  10.000 2.181 -10.285
17 1 1.4510e+00  34.000 7.416 40.930  1.000 0.218 -1.029
1 1 1.2338e-01  0.000 0.000 75.900  0.060 0.040 0.100
1 1 1.4384e-01  0.000 0.000 75.900  0.092 -0.046 0.100
1 3 7.5781e+00  0.000 0.000 75.900  3.859 -6.250 -1.864
3 5 2.2734e+01  3.859 -6.250 74.036  11.576 -18.750 -5.593
5 1 1.2125e+01  15.435 -25.000 68.443  6.174 -10.000 -2.983
1 3 2.0433e+00  0.000 0.000 75.900  -0.588 0.469 -1.900
3 5 1.3443e+01  -0.588 0.469 74.000  -3.868 3.082 -12.500
5 9 1.2368e+01  -4.456 3.551 61.500  -3.559 2.836 -11.500
9 17 2.8499e+01  -8.015 6.387 50.000  -8.201 6.535 -26.500
17 97 5.3772e+00  -16.215 12.922 23.500  -1.547 1.233 -5.000
97 64 1.9896e+01  -17.763 14.155 18.500  -5.725 4.562 -18.500
1 3 2.7362e+00  0.000 0.000 75.900  -0.115 1.966 -1.900
3 5 1.8001e+01  -0.115 1.966 74.000  -0.758 12.931 -12.500
5 9 1.2672e+01  -0.874 14.897 61.500  -0.534 9.103 -8.799
9 1 1.5313e+01  -1.408 24.000 52.701  -0.645 11.000 -10.633
1 1 1.0827e-01  0.000 0.000 75.900  -0.041 0.007 0.100
1 3 2.0115e+00  0.000 0.000 75.900  -0.017 0.660 -1.900
3 5 1.3233e+01  -0.017 0.660 74.000  -0.110 4.343 -12.500
5 9 1.2175e+01  -0.127 5.003 61.500  -0.102 3.996 -11.500
9 17 2.8055e+01  -0.229 8.999 50.000  -0.234 9.207 -26.500
17 97 5.2934e+00  -0.463 18.206 23.500  -0.044 1.737 -5.000
97 64 1.9585e+01  -0.507 19.943 18.500  -0.163 6.428 -18.500
1 1 1.7249e-01  0.000 0.000 75.900  0.141 0.002 0.100
1 1 2.5484e-01  0.000 0.000 75.900  0.107 -0.208 0.100
1 1 1.6771e-01  0.000 0.000 75.900  0.100 -0.090 0.100
1 3 2.5341e+00  0.000 0.000 75.900  -1.309 1.048 -1.900
3 5 1.6672e+01  -1.309 1.048 74.000  -8.611 6.895 -12.500
5 9 1.5338e+01  -9.920 7.943 61.500  -7.922 6.343 -11.500
9 17 3.1281e+01  -17.843 14.286 50.000  -16.157 12.937 -23.454
17 1 1.9360e+00  -34.000 27.223 26.546  -1.000 0.801 -1.452
1 1 1.1947e-01  0.000 0.000 75.900  0.006 0.065 0.100
1 3 7.8262e+00  0.000 0.000 75.900  4.545 6.250 -1.235
3 5 2.3478e+01  4.545 6.250 74.665  13.636 18.750 -3.706
5 1 1.2522e+01  18.181 25.000 70.959  7.273 10.000 -1.976
1 3 2.5502e+00  0.000 0.000 75.900  -0.382 -1.658 -1.900
3 5 1.6778e+01  -0.382 -1.658 74.000  -2.511 -10.906 -12.500
5 9 1.5436e+01  -2.892 -12.564 61.500  -2.310 -10.033 -11.500
9 17 1.7542e+01  -5.202 -22.597 50.000  -2.625 -11.403 -13.070
17 1 1.5384e+00  -7.827 -34.000 36.930  -0.230 -1.000 -1.146
1 3 2.3456e+00  0.000 0.000 75.900  -0.723 1.170 -1.900
3 5 1.5431e+01  -0.723 1.170 74.000  -4.757 7.697 -12.500
5 9 1.4197e+01  -5.480 8.867 61.500  -4.376 7.081 -11.500
9 17 3.2714e+01  -9.857 15.949 50.000  -10.085 16.318 -26.500
1 1 5.4793e+00  -19.941 32.267 23.500  -1.689 2.733 -4.438
1 1 4.8264e-01  0.000 0.000 75.900  0.402 0.247 0.100
1 1 1.0943e-01  0.000 0.000 75.900  -0.018 -0.040 0.100
1 1 1.0196e-01  0.000 0.000 75.900  0.019 -0.007 0.100
1 3 3.8695e+00  0.000 0.000 75.900  3.106 -1.309 -1.900
3 5 2.5458e+01  3.106 -1.309 74.000  20.436 -8.614 -12.500
5 1 1.4273e+01  23.542 -9.924 61.500  11.458 -4.830 -7.008
1 1 3.1015e-01  0.000 0.000 75.900  0.003 -0.294 0.100
1 1 5.5570e+00  0.000 0.000 75.900  3.577 -4.251 0.100
1 3 2.9203e+00  0.000 0.000 75.900  -0.363 -2.188 -1.900
3 5 1.9213e+01  -0.363 -2.188 74.000  -2.386 -14.394 -12.500
5 1 2.4585e+01  -2.749 -16.581 61.500  -3.054 -18.419 -15.995
1 1 1.3161e-01  0.000 0.000 75.900  0.073 0.044 0.100
